appl_no,submission_no,appl_type,drug_name,active_ingredient,sponsor_name,approval_date,review_priority_group,orphan_designation,active_ingredient_norm,needs_manual_controlled_substance_flag,arcos_merge_notes
000004,1,NDA,PAREDRINE,HYDROXYAMPHETAMINE HYDROBROMIDE,PHARMICS,1969-07-16,OTHER/UNKNOWN,False,HYDROXYAMPHETAMINE HYDROBROMIDE,True,
000159,1,NDA,SULFAPYRIDINE,SULFAPYRIDINE,LILLY,1939-03-09,MISSING,False,SULFAPYRIDINE,True,
000415,1,,,,,1939-02-27,MISSING,False,,True,
000552,1,NDA,HEPARIN SODIUM; LIQUAEMIN LOCK FLUSH; LIQUAEMIN SODIUM; LIQUAEMIN SODIUM PRESERVATIVE FREE,HEPARIN SODIUM,ASPEN GLOBAL INC,1939-02-09,OTHER/UNKNOWN,False,HEPARIN SODIUM,True,
000654,1,,,,,1939-05-04,OTHER/UNKNOWN,False,,True,
000734,1,NDA,HISTAMINE PHOSPHATE,HISTAMINE PHOSPHATE,LILLY,1939-04-25,MISSING,False,HISTAMINE PHOSPHATE,True,
000740,1,,,,,1939-04-26,MISSING,False,,True,
000763,1,,,,,1939-04-26,MISSING,False,,True,
000767,1,,,,,1949-04-27,MISSING,False,,True,
000793,1,NDA,BUTISOL SODIUM,BUTABARBITAL SODIUM,PHARMOBEDIENT,1939-06-05,OTHER/UNKNOWN,False,BUTABARBITAL SODIUM,True,
001104,1,NDA,DOCA,DESOXYCORTICOSTERONE ACETATE,ORGANON USA INC,1939-08-17,MISSING,False,DESOXYCORTICOSTERONE ACETATE,True,
001205,1,,,,,1939-07-17,STANDARD,False,,True,
001374,1,,,,,1939-09-05,MISSING,False,,True,
001384,1,,,,,1939-08-17,OTHER/UNKNOWN,False,,True,
001504,1,NDA,VERARD,VERARD,THE VERARD COMPANY,1939-08-30,STANDARD,False,VERARD,True,
001546,1,NDA,GUANIDINE HYDROCHLORIDE,GUANIDINE HYDROCHLORIDE,MERCK SHARP DOHME,1939-10-02,OTHER/UNKNOWN,False,GUANIDINE HYDROCHLORIDE,True,
001645,1,,,,,1939-10-06,MISSING,False,,True,
001952,1,,,,,1940-01-30,MISSING,False,,True,
002189,1,,,,,1940-05-09,OTHER/UNKNOWN,False,,True,
002282,1,NDA,INULIN AND SODIUM CHLORIDE,INULIN,ISO TEX,1940-04-30,STANDARD,False,INULIN,True,
002386,1,NDA,AMINOPHYLLIN,AMINOPHYLLINE,GD SEARLE LLC,1940-04-19,STANDARD,False,AMINOPHYLLINE,True,
002852,1,,,,,1940-09-19,MISSING,False,,True,
002876,1,,,,,1940-09-05,MISSING,False,,True,
002918,1,NDA,BENSULFOID,SULFUR,POYTHRESS,1940-09-17,OTHER/UNKNOWN,False,SULFUR,True,
002945,1,,,,,1940-11-26,OTHER/UNKNOWN,False,,True,
002959,1,,,,,1940-09-04,MISSING,False,,True,
003188,1,,,,,1940-11-18,OTHER/UNKNOWN,False,,True,
003216,1,,,,,1940-11-19,MISSING,False,,True,
003290,1,,,,,1941-03-14,OTHER/UNKNOWN,False,,True,
003444,1,NDA,DRISDOL,ERGOCALCIFEROL,ESJAY PHARMA,1941-01-11,OTHER/UNKNOWN,False,ERGOCALCIFEROL,True,
003447,1,,,,,1941-06-19,MISSING,False,,True,
003448,1,,,,,1941-10-01,OTHER/UNKNOWN,False,,True,
003498,1,,,,,1941-01-27,MISSING,False,,True,
003718,1,NDA,SYNKAYVITE,MENADIOL SODIUM DIPHOSPHATE,ROCHE,1941-07-15,OTHER/UNKNOWN,False,MENADIOL SODIUM DIPHOSPHATE,True,
003934,1,,,,,1941-06-19,MISSING,False,,True,
003962,1,,,,,1941-07-08,MISSING,False,,True,
003977,1,NDA,THEELIN,ESTRONE,PARKEDALE,1941-06-12,OTHER/UNKNOWN,False,ESTRONE,True,
003993,1,,,,,1941-08-05,MISSING,False,,True,
004016,1,,,,,1941-08-08,MISSING,False,,True,
004054,1,NDA,SULFADIAZINE; SULFADIAZINE SODIUM,SULFADIAZINE; SULFADIAZINE SODIUM,LEDERLE,1941-08-11,MISSING,False,SULFADIAZINE SULFADIAZINE SODIUM,True,
004122,1,NDA,SULFADIAZINE,SULFADIAZINE,LILLY,1941-08-26,STANDARD,False,SULFADIAZINE,True,
004229,1,,,,,1942-01-12,OTHER/UNKNOWN,False,,True,
004236,1,,,,,1941-09-16,MISSING,False,,True,
004297,1,,,,,1941-10-27,OTHER/UNKNOWN,False,,True,
004368,1,,,,,1941-10-31,MISSING,False,,True,
004518,1,,,,,1942-01-29,OTHER/UNKNOWN,False,,True,
004570,1,NDA,HEPARIN SODIUM,HEPARIN SODIUM,PHARMACIA AND UPJOHN,1942-02-05,OTHER/UNKNOWN,False,HEPARIN SODIUM,True,
004589,1,NDA,ALCOHOL 5% AND DEXTROSE 5%,ALCOHOL; DEXTROSE,B BRAUN,1946-01-17,MISSING,False,ALCOHOL DEXTROSE,True,
004652,1,,,,,1942-06-04,OTHER/UNKNOWN,False,,True,
004725,1,,,,,1942-08-11,MISSING,False,,True,
004782,1,NDA,PREMARIN,"ESTROGENS, CONJUGATED",WYETH PHARMS,1942-05-08,STANDARD,False,ESTROGENS CONJUGATED,True,
004979,1,,,,,1942-06-16,MISSING,False,,True,
005010,1,NDA,DEMEROL,MEPERIDINE HYDROCHLORIDE,QUAGEN,1942-11-10,STANDARD,False,MEPERIDINE HYDROCHLORIDE,True,
005036,1,,,,,1942-11-21,MISSING,False,,True,
005070,1,,,,,1942-10-08,MISSING,False,,True,
005151,1,NDA,PERCORTEN,DESOXYCORTICOSTERONE ACETATE,NOVARTIS,1942-12-09,OTHER/UNKNOWN,False,DESOXYCORTICOSTERONE ACETATE,True,
005159,1,,,,,1943-02-02,MISSING,False,,True,
005185,1,,,,,1943-01-25,MISSING,False,,True,
005213,1,NDA,HYCODAN,HOMATROPINE METHYLBROMIDE; HYDROCODONE BITARTRATE,GENUS,1943-03-23,STANDARD,False,HOMATROPINE METHYLBROMIDE HYDROCODONE BITARTRATE,True,
005233,1,,,,,1943-06-05,OTHER/UNKNOWN,False,,True,
005264,1,NDA,HEPARIN LOCK FLUSH; HEPARIN SODIUM PRESERVATIVE FREE; PANHEPRIN,HEPARIN SODIUM,HOSPIRA,1943-05-04,STANDARD,False,HEPARIN SODIUM,True,
005292,1,NDA,ESTINYL,ETHINYL ESTRADIOL,SCHERING,1943-06-25,MISSING,False,ETHINYL ESTRADIOL,True,
005378,1,NDA,DESOXYN,METHAMPHETAMINE HYDROCHLORIDE,AJENAT PHARMS,1943-12-31,OTHER/UNKNOWN,False,METHAMPHETAMINE HYDROCHLORIDE,True,
005426,1,,,,,1944-03-08,MISSING,False,,True,
005490,1,NDA,LYNORAL,ETHINYL ESTRADIOL,ORGANON USA INC,1944-04-13,OTHER/UNKNOWN,False,ETHINYL ESTRADIOL,True,
005521,1,NDA,HEPARIN SODIUM,HEPARIN SODIUM,LILLY,1944-05-19,MISSING,False,HEPARIN SODIUM,True,
005545,1,NDA,DICUMAROL,DICUMAROL,ABBVIE,1944-07-31,MISSING,False,DICUMAROL,True,
005573,1,,,,,1944-07-19,OTHER/UNKNOWN,False,,True,
005587,1,,,,,1944-08-25,OTHER/UNKNOWN,False,,True,
005592,1,,,,,1944-10-14,MISSING,False,,True,
005595,1,,,,,1944-09-08,OTHER/UNKNOWN,False,,True,
005596,1,,,,,1944-12-18,MISSING,False,,True,
005619,1,NDA,AMINOHIPPURATE SODIUM,AMINOHIPPURATE SODIUM,MERCK,1944-12-30,OTHER/UNKNOWN,False,AMINOHIPPURATE SODIUM,True,
005657,1,NDA,TUBOCURARINE CHLORIDE,TUBOCURARINE CHLORIDE,BRISTOL MYERS SQUIBB,1945-02-20,PRIORITY,False,TUBOCURARINE CHLORIDE,True,
005766,1,,,,,1946-05-28,OTHER/UNKNOWN,False,,True,
005773,1,,,,,1945-07-24,OTHER/UNKNOWN,False,,True,
005786,1,,,,,1945-08-13,OTHER/UNKNOWN,False,,True,
005794,1,NDA,SULTRIN,TRIPLE SULFA (SULFABENZAMIDE;SULFACETAMIDE;SULFATHIAZOLE),ORTHO MCNEIL PHARM,1945-09-12,MISSING,False,TRIPLE SULFA SULFABENZAMIDE SULFACETAMIDE SULFATHIAZOLE,True,
005795,1,NDA,FURACIN,NITROFURAZONE,SHIRE,1945-10-04,STANDARD,False,NITROFURAZONE,True,
005798,1,,,,,1945-11-06,MISSING,False,,True,
005845,1,NDA,BENADRYL,DIPHENHYDRAMINE HYDROCHLORIDE,MCNEIL CONS,1946-03-04,STANDARD,False,DIPHENHYDRAMINE HYDROCHLORIDE,True,
005856,1,NDA,TRIDIONE,TRIMETHADIONE,ABBVIE,1946-01-25,OTHER/UNKNOWN,False,TRIMETHADIONE,True,
005897,1,NDA,FOLVITE,FOLIC ACID,WYETH PHARMS INC,1947-06-05,OTHER/UNKNOWN,False,FOLIC ACID,True,
005914,1,NDA,PBZ,TRIPELENNAMINE CITRATE; TRIPELENNAMINE HYDROCHLORIDE,NOVARTIS,1948-02-19,STANDARD,False,TRIPELENNAMINE CITRATE TRIPELENNAMINE HYDROCHLORIDE,True,
005915,1,,,,,1946-03-29,OTHER/UNKNOWN,False,,True,
005929,1,NDA,D.H.E. 45,DIHYDROERGOTAMINE MESYLATE,BAUSCH,1946-04-12,OTHER/UNKNOWN,False,DIHYDROERGOTAMINE MESYLATE,True,
005939,1,NDA,BAL,DIMERCAPROL,PROVEPHARM SAS,1946-05-06,OTHER/UNKNOWN,False,DIMERCAPROL,True,
005963,1,NDA,SODIUM SULAMYD,SULFACETAMIDE SODIUM,SCHERING,1946-07-21,OTHER/UNKNOWN,False,SULFACETAMIDE SODIUM,True,
005970,1,NDA,SOTRADECOL,SODIUM TETRADECYL SULFATE,ELKINS SINN,1946-08-13,PRIORITY,False,SODIUM TETRADECYL SULFATE,True,
006002,1,NDA,ARALEN; ARALEN HYDROCHLORIDE,CHLOROQUINE HYDROCHLORIDE; CHLOROQUINE PHOSPHATE,SANOFI AVENTIS US,1949-10-31,OTHER/UNKNOWN,False,CHLOROQUINE HYDROCHLORIDE CHLOROQUINE PHOSPHATE,True,
006003,1,,,,,1946-10-18,MISSING,False,,True,
006008,1,NDA,MESANTOIN,MEPHENYTOIN,NOVARTIS,1946-10-23,MISSING,False,MEPHENYTOIN,True,
006012,1,NDA,FOLVRON,FERROUS SULFATE; FOLIC ACID,LEDERLE,1946-08-13,MISSING,False,FERROUS SULFATE FOLIC ACID,True,
006035,1,NDA,METHERGINE,METHYLERGONOVINE MALEATE,EDISON THERAPS LLC,1946-11-19,OTHER/UNKNOWN,False,METHYLERGONOVINE MALEATE,True,
006071,1,NDA,BEROCCA PN,ASCORBIC ACID; BIOTIN; CYANOCOBALAMIN; DEXPANTHENOL; ERGOCALCIFEROL; FOLIC ACID; NIACINAMIDE; PYRIDOXINE HYDROCHLORIDE; RIBOFLAVIN 5'-PHOSPHATE SODIUM; THIAMINE HYDROCHLORIDE; VITAMIN A PALMITATE; VITAMIN E,ROCHE,1947-07-28,OTHER/UNKNOWN,False,ASCORBIC ACID BIOTIN CYANOCOBALAMIN DEXPANTHENOL ERGOCALCIFEROL FOLIC ACID NIACINAMIDE PYRIDOXINE HYDROCHLORIDE RIBOFLAVIN 5 PHOSPHATE SODIUM THIAMINE HYDROCHLORIDE VITAMIN A PALMITATE VITAMIN E,True,
006095,1,NDA,TUBOCURARINE CHLORIDE,TUBOCURARINE CHLORIDE,HOSPIRA,1947-01-30,STANDARD,False,TUBOCURARINE CHLORIDE,True,
006110,1,NDA,DIENESTROL,DIENESTROL,ORTHO MCNEIL PHARM,1947-01-09,MISSING,False,DIENESTROL,True,
006128,1,,,,,1948-06-04,OTHER/UNKNOWN,False,,True,
006129,1,,,,,1947-03-05,OTHER/UNKNOWN,False,,True,
006130,1,,,,,1948-09-20,OTHER/UNKNOWN,False,,True,
006134,1,NDA,DOLOPHINE HYDROCHLORIDE,METHADONE HYDROCHLORIDE,HIKMA,1947-08-13,OTHER/UNKNOWN,False,METHADONE HYDROCHLORIDE,True,
006135,1,NDA,FOLIC ACID,FOLIC ACID,LILLY,1947-06-02,OTHER/UNKNOWN,False,FOLIC ACID,True,
006146,1,NDA,BENADRYL,DIPHENHYDRAMINE HYDROCHLORIDE,MCNEIL CONS,1947-03-06,STANDARD,False,DIPHENHYDRAMINE HYDROCHLORIDE,True,
006168,1,,,,,1947-04-11,OTHER/UNKNOWN,False,,True,
006170,1,NDA,HYPROTIGEN 5%,PROTEIN HYDROLYSATE,B BRAUN,1947-04-23,STANDARD,False,PROTEIN HYDROLYSATE,True,
006188,1,NDA,PROPYLTHIOURACIL,PROPYLTHIOURACIL,PH HEALTH,1947-07-28,OTHER/UNKNOWN,False,PROPYLTHIOURACIL,True,
006213,1,NDA,PROPYLTHIOURACIL,PROPYLTHIOURACIL,LILLY,1947-07-29,OTHER/UNKNOWN,False,PROPYLTHIOURACIL,True,
006215,1,,,,,1947-05-25,OTHER/UNKNOWN,False,,True,
006264,1,,,,,1947-07-23,MISSING,False,,True,
006303,1,,,,,1947-09-25,STANDARD,False,,True,
006325,1,NDA,TUBOCURARINE CHLORIDE,TUBOCURARINE CHLORIDE,LILLY,1947-11-28,STANDARD,False,TUBOCURARINE CHLORIDE,True,
006328,1,NDA,ISUPREL,ISOPROTERENOL HYDROCHLORIDE,SANOFI AVENTIS US,1948-02-19,OTHER/UNKNOWN,False,ISOPROTERENOL HYDROCHLORIDE,True,
006333,1,NDA,SYNOPHYLATE,THEOPHYLLINE SODIUM GLYCINATE,CENT PHARMS,1947-10-17,OTHER/UNKNOWN,False,THEOPHYLLINE SODIUM GLYCINATE,True,
006340,1,,,,,1948-07-06,MISSING,False,,True,
006367,1,,,,,1948-02-26,OTHER/UNKNOWN,False,,True,
006383,1,NDA,METHADONE HYDROCHLORIDE,METHADONE HYDROCHLORIDE,MALLINCKRODT INC,1947-12-15,OTHER/UNKNOWN,False,METHADONE HYDROCHLORIDE,True,
006386,1,,,,,1947-12-30,OTHER/UNKNOWN,False,,True,
006403,1,NDA,PRISCOLINE,TOLAZOLINE HYDROCHLORIDE,NOVARTIS,1948-03-17,MISSING,False,TOLAZOLINE HYDROCHLORIDE,True,
006410,1,,,,,1948-03-29,MISSING,False,,True,
006412,1,NDA,DECAPRYN,DOXYLAMINE SUCCINATE,SANOFI AVENTIS US,1948-04-07,STANDARD,False,DOXYLAMINE SUCCINATE,True,
006459,1,NDA,HETRAZAN,DIETHYLCARBAMAZINE CITRATE,LEDERLE,1950-11-13,OTHER/UNKNOWN,False,DIETHYLCARBAMAZINE CITRATE,True,
006460,1,NDA,PROTAMINE SULFATE,PROTAMINE SULFATE,LILLY,1969-08-13,STANDARD,False,PROTAMINE SULFATE,True,
006461,1,,,,,1980-03-03,OTHER/UNKNOWN,False,,True,
006463,1,,,,,1948-05-04,MISSING,False,,True,
006484,1,,,,,1948-07-29,MISSING,False,,True,
006488,1,NDA,XYLOCAINE; XYLOCAINE W/ EPINEPHRINE,EPINEPHRINE; LIDOCAINE HYDROCHLORIDE; LIDOCAINE HYDROCHLORIDE,FRESENIUS KABI USA,1948-11-19,OTHER/UNKNOWN,False,EPINEPHRINE LIDOCAINE HYDROCHLORIDE LIDOCAINE HYDROCHLORIDE,True,
006499,1,,,,,1948-06-30,OTHER/UNKNOWN,False,,True,
006525,1,NDA,GANTRISIN,SULFISOXAZOLE,ROCHE,1948-07-29,OTHER/UNKNOWN,False,SULFISOXAZOLE,True,
006526,1,,,,,1948-07-26,MISSING,False,,True,
006530,1,NDA,AVC,SULFANILAMIDE,PHARMOBEDIENT,1965-06-05,OTHER/UNKNOWN,False,SULFANILAMIDE,True,
006536,1,NDA,URECHOLINE,BETHANECHOL CHLORIDE,TEVA BRANDED PHARM,1948-10-12,OTHER/UNKNOWN,False,BETHANECHOL CHLORIDE,True,
006564,1,,,,,1948-08-16,MISSING,False,,True,
006569,1,,,,,1980-03-03,OTHER/UNKNOWN,False,,True,
006593,1,,,,,1948-10-27,OTHER/UNKNOWN,False,,True,
006603,1,,,,,1948-10-27,OTHER/UNKNOWN,False,,True,
006617,1,,,,,1948-11-29,MISSING,False,,True,
006620,1,NDA,CAFERGOT,CAFFEINE; ERGOTAMINE TARTRATE,NOVARTIS,1948-11-26,MISSING,False,CAFFEINE ERGOTAMINE TARTRATE,True,
006632,1,NDA,METUBINE IODIDE,METOCURINE IODIDE,LILLY,1949-01-04,STANDARD,False,METOCURINE IODIDE,True,
006652,1,,,,,1980-03-03,OTHER/UNKNOWN,False,,True,
006686,1,,,,,1949-03-01,OTHER/UNKNOWN,False,,True,
006695,1,NDA,MUSTARGEN,MECHLORETHAMINE HYDROCHLORIDE,RECORDATI RARE,1949-03-15,PRIORITY,False,MECHLORETHAMINE HYDROCHLORIDE,True,
006772,1,NDA,VASOXYL,METHOXAMINE HYDROCHLORIDE,GLAXOSMITHKLINE,1949-03-28,OTHER/UNKNOWN,False,METHOXAMINE HYDROCHLORIDE,True,
006773,1,NDA,ARTANE,TRIHEXYPHENIDYL HYDROCHLORIDE,LEDERLE,1949-05-13,MISSING,False,TRIHEXYPHENIDYL HYDROCHLORIDE,True,
006799,1,NDA,RUBRAMIN PC,CYANOCOBALAMIN,BRISTOL MYERS SQUIBB,1950-09-29,STANDARD,False,CYANOCOBALAMIN,True,
006800,1,NDA,PARADIONE,PARAMETHADIONE,ABBVIE,1949-06-15,MISSING,False,PARAMETHADIONE,True,
006823,1,NDA,AQUASOL A,VITAMIN A PALMITATE,CASPER PHARMA LLC,1949-05-18,OTHER/UNKNOWN,False,VITAMIN A PALMITATE,True,
006826,1,,,,,1954-06-08,MISSING,False,,True,
006882,1,NDA,PHISOHEX,HEXACHLOROPHENE,SANOFI AVENTIS US,1949-04-19,OTHER/UNKNOWN,False,HEXACHLOROPHENE,True,
006911,1,,,,,1949-06-21,OTHER/UNKNOWN,False,,True,
006920,1,NDA,TRIPLE SULFAS,TRISULFAPYRIMIDINES (SULFADIAZINE;SULFAMERAZINE;SULFAMETHAZINE),LEDERLE,1949-08-16,STANDARD,False,TRISULFAPYRIMIDINES SULFADIAZINE SULFAMERAZINE SULFAMETHAZINE,True,
006921,1,NDA,CHLOR-TRIMETON,CHLORPHENIRAMINE MALEATE,SCHERING,1949-07-13,OTHER/UNKNOWN,False,CHLORPHENIRAMINE MALEATE,True,
006925,1,,,,,1955-07-29,STANDARD,False,,True,
006927,1,NDA,EURAX,CROTAMITON,JOURNEY,1949-07-06,OTHER/UNKNOWN,False,CROTAMITON,True,
007012,1,NDA,VI-TWEL,CYANOCOBALAMIN,BAYER HLTHCARE,1949-09-15,MISSING,False,CYANOCOBALAMIN,True,
007018,1,,,,,1950-07-31,OTHER/UNKNOWN,False,,True,
007067,1,,,,,1949-11-16,OTHER/UNKNOWN,False,,True,
007073,1,NDA,AZULFIDINE; AZULFIDINE EN-TABS,SULFASALAZINE,PFIZER,1950-06-20,PRIORITY,False,SULFASALAZINE,True,
007085,1,NDA,CYANOCOBALAMIN,CYANOCOBALAMIN,WARNER CHILCOTT,1949-12-06,OTHER/UNKNOWN,False,CYANOCOBALAMIN,True,
007110,1,NDA,CORTONE,CORTISONE ACETATE,MERCK,1950-06-13,PRIORITY,False,CORTISONE ACETATE,True,
007149,1,,,,,1950-03-02,MISSING,False,,True,
007220,1,,,,,1950-01-18,MISSING,False,,True,
007289,1,,,,,1950-04-17,MISSING,False,,True,
007320,1,NDA,TEEBACIN,AMINOSALICYLATE SODIUM,CONSOLIDATED MIDLAND,1950-03-08,STANDARD,False,AMINOSALICYLATE SODIUM,True,
007335,1,NDA,PRONESTYL,PROCAINAMIDE HYDROCHLORIDE,APOTHECON,1950-06-02,PRIORITY,False,PROCAINAMIDE HYDROCHLORIDE,True,
007337,1,NDA,PERCODAN; PERCODAN-DEMI,ASPIRIN; OXYCODONE HYDROCHLORIDE; ASPIRIN; OXYCODONE HYDROCHLORIDE; OXYCODONE TEREPHTHALATE,ENDO OPERATIONS,1950-04-12,STANDARD,False,ASPIRIN OXYCODONE HYDROCHLORIDE ASPIRIN OXYCODONE HYDROCHLORIDE OXYCODONE TEREPHTHALATE,True,
007390,1,NDA,BANTHINE,METHANTHELINE BROMIDE,SHIRE,1951-07-03,STANDARD,False,METHANTHELINE BROMIDE,True,
007392,1,NDA,SECONAL SODIUM,SECOBARBITAL SODIUM,LILLY,1950-07-19,STANDARD,False,SECOBARBITAL SODIUM,True,
007409,1,NDA,BENTYL,DICYCLOMINE HYDROCHLORIDE,ALLERGAN,1950-05-11,STANDARD,False,DICYCLOMINE HYDROCHLORIDE,True,
007504,1,NDA,ACTHAR,CORTICOTROPIN,SANOFI AVENTIS US,1950-07-03,PRIORITY,False,CORTICOTROPIN,True,
007513,1,NDA,LEVOPHED,NOREPINEPHRINE BITARTRATE,HOSPIRA,1950-07-13,PRIORITY,False,NOREPINEPHRINE BITARTRATE,True,
007514,1,,,,,1950-06-13,STANDARD,False,,True,
007517,1,NDA,TAPAZOLE,METHIMAZOLE,KING PHARMS,1950-06-21,PRIORITY,False,METHIMAZOLE,True,
007518,1,,,,,1950-07-11,MISSING,False,,True,
007529,1,NDA,QUINIDINE GLUCONATE,QUINIDINE GLUCONATE,LILLY,1950-07-12,PRIORITY,False,QUINIDINE GLUCONATE,True,
007600,1,NDA,SURITAL,THIAMYLAL SODIUM,PARKEDALE,1954-07-09,STANDARD,False,THIAMYLAL SODIUM,True,
007638,1,NDA,CHLOR-TRIMETON,CHLORPHENIRAMINE MALEATE,BAYER HEALTHCARE LLC,1950-08-15,STANDARD,False,CHLORPHENIRAMINE MALEATE,True,
007659,1,,,,,1950-11-17,STANDARD,False,,True,
007663,1,,,,,1952-08-11,PRIORITY,False,,True,
007678,1,,,,,1950-09-25,MISSING,False,,True,
007707,1,NDA,PHENURONE,PHENACEMIDE,ABBVIE,1951-06-28,PRIORITY,False,PHENACEMIDE,True,
007750,1,NDA,CORTONE,CORTISONE ACETATE,MERCK,1950-12-04,STANDARD,False,CORTISONE ACETATE,True,
007794,1,NDA,NEOTHYLLINE,DYPHYLLINE,TEVA,1951-03-07,STANDARD,False,DYPHYLLINE,True,
007814,1,,,,,1980-03-03,STANDARD,False,,True,
007821,1,,,,,1957-03-13,STANDARD,False,,True,
007853,1,,,,,1975-07-11,MISSING,False,,True,
007871,1,,,,,1952-01-16,MISSING,False,,True,
007883,1,NDA,ANTABUSE,DISULFIRAM,TEVA WOMENS,1951-08-28,PRIORITY,False,DISULFIRAM,True,
007898,1,NDA,BENEMID,PROBENECID,MERCK,1951-04-26,PRIORITY,False,PROBENECID,True,
007919,1,,,,,1951-08-13,MISSING,False,,True,
007935,1,NDA,PHENERGAN,PROMETHAZINE HYDROCHLORIDE,DELCOR ASSET CORP,1951-03-29,STANDARD,False,PROMETHAZINE HYDROCHLORIDE,True,
007936,1,NDA,SELSUN,SELENIUM SULFIDE,CHATTEM,1951-05-17,STANDARD,False,SELENIUM SULFIDE,True,
007942,1,NDA,SUS-PHRINE SULFITE FREE,EPINEPHRINE,FOREST LABS,1951-06-08,STANDARD,False,EPINEPHRINE,True,
007959,1,NDA,TENSILON; TENSILON PRESERVATIVE FREE,EDROPHONIUM CHLORIDE,PAI HOLDINGS PHARM,1951-05-03,PRIORITY,False,EDROPHONIUM CHLORIDE,True,
007961,1,NDA,BENTYL,DICYCLOMINE HYDROCHLORIDE,APTALIS PHARMA US,1951-04-30,STANDARD,False,DICYCLOMINE HYDROCHLORIDE,True,
008021,1,,,,,1951-06-22,MISSING,False,,True,
008032,1,NDA,TELEPAQUE,IOPANOIC ACID,GE HEALTHCARE,1951-07-16,PRIORITY,False,IOPANOIC ACID,True,
008048,1,NDA,XYLOCAINE,LIDOCAINE,ASTRAZENECA,1951-05-17,STANDARD,False,LIDOCAINE,True,
008070,1,,,,,1952-01-29,MISSING,False,,True,
008072,1,,,,,1997-06-25,STANDARD,False,,True,
008082,1,,,,,1951-07-31,STANDARD,False,,True,
008085,1,NDA,METHOTREXATE SODIUM,METHOTREXATE SODIUM,STRIDES PHARMA INTL,1953-12-07,PRIORITY,False,METHOTREXATE SODIUM,True,
008107,1,NDA,LEUCOVORIN CALCIUM,LEUCOVORIN CALCIUM,HOSPIRA,1952-06-20,PRIORITY,True,LEUCOVORIN CALCIUM,True,
008126,1,NDA,CORTISONE ACETATE,CORTISONE ACETATE,PHARMACIA AND UPJOHN,1951-11-02,STANDARD,False,CORTISONE ACETATE,True,
008160,1,,,,,1952-04-09,STANDARD,False,,True,
008167,1,,,,,1952-06-25,MISSING,False,,True,
008173,1,NDA,BENOQUIN,MONOBENZONE,VALEANT PHARM INTL,1952-11-10,PRIORITY,False,MONOBENZONE,True,
008176,1,,,,,1951-10-26,MISSING,False,,True,
008200,1,,,,,2001-09-17,PRIORITY,False,,True,
008228,1,NDA,HYDROCORTONE,HYDROCORTISONE ACETATE,MERCK,1951-12-21,STANDARD,False,HYDROCORTISONE ACETATE,True,
008248,1,NDA,WYAMINE SULFATE,MEPHENTERMINE SULFATE,BAXTER HLTHCARE CORP,1951-12-29,STANDARD,False,MEPHENTERMINE SULFATE,True,
008256,1,,,,,1951-12-21,STANDARD,False,,True,
008278,1,NDA,REGITINE,PHENTOLAMINE MESYLATE,NOVARTIS,1952-01-30,PRIORITY,False,PHENTOLAMINE MESYLATE,True,
008279,1,,,,,1952-01-24,PRIORITY,False,,True,
008284,1,NDA,CORTISONE ACETATE,CORTISONE ACETATE,PANRAY,1952-01-14,STANDARD,False,CORTISONE ACETATE,True,
008303,1,NDA,APRESOLINE,HYDRALAZINE HYDROCHLORIDE,NOVARTIS,1953-01-15,PRIORITY,False,HYDRALAZINE HYDROCHLORIDE,True,
008306,1,NDA,PHENERGAN VC W/ CODEINE; PHENERGAN W/ CODEINE,CODEINE PHOSPHATE; PHENYLEPHRINE HYDROCHLORIDE; PROMETHAZINE HYDROCHLORIDE; CODEINE PHOSPHATE; PROMETHAZINE HYDROCHLORIDE,ANI PHARMS,1952-01-21,STANDARD,False,CODEINE PHOSPHATE PHENYLEPHRINE HYDROCHLORIDE PROMETHAZINE HYDROCHLORIDE CODEINE PHOSPHATE PROMETHAZINE HYDROCHLORIDE,True,
008316,1,NDA,PRIMAQUINE,PRIMAQUINE PHOSPHATE,SANOFI AVENTIS US,1952-01-23,STANDARD,False,PRIMAQUINE PHOSPHATE,True,
008317,1,NDA,ACTH,CORTICOTROPIN,PARKEDALE,1952-03-14,STANDARD,False,CORTICOTROPIN,True,
008319,1,NDA,BUTAZOLIDIN,PHENYLBUTAZONE,NOVARTIS,1997-06-25,STANDARD,False,PHENYLBUTAZONE,True,
008326,1,,,,,1952-04-14,MISSING,False,,True,
008328,1,,,,,1952-05-20,MISSING,False,,True,
008362,1,,,,,1952-05-15,MISSING,False,,True,
008370,1,NDA,BENTYL; BENTYL PRESERVATIVE FREE,DICYCLOMINE HYDROCHLORIDE,ABBVIE,1952-08-13,STANDARD,False,DICYCLOMINE HYDROCHLORIDE,True,
008372,1,NDA,ACTHAR GEL; ACTHAR GEL (AUTOINJECTOR),CORTICOTROPIN,MALLINCKRODT IRELAND,1952-04-29,STANDARD,True,CORTICOTROPIN,True,
008381,1,NDA,PROMETHAZINE HYDROCHLORIDE PLAIN,PROMETHAZINE HYDROCHLORIDE,ANI PHARMS,1952-04-11,STANDARD,False,PROMETHAZINE HYDROCHLORIDE,True,
008418,1,,,,,1952-05-12,MISSING,False,,True,
008453,1,NDA,ANECTINE,SUCCINYLCHOLINE CHLORIDE,SANDOZ,1952-08-20,PRIORITY,False,SUCCINYLCHOLINE CHLORIDE,True,
