ApplNo,SubmissionType,SubmissionNo,SubmissionStatus,SubmissionStatusDate,approval_year,ReviewPriority_raw,ReviewPriority,ApplType_raw,ApplType,SponsorName,DrugName,ActiveIngredient,n_products,ProductNo_list,SubmissionClassCodeID,SubmissionClassCode,SubmissionClassCodeDescription
000004,ORIG,1,AP,1969-07-16,1969,UNKNOWN,UNKNOWN,NDA,NDA,PHARMICS,PAREDRINE,HYDROXYAMPHETAMINE HYDROBROMIDE,1.0,004,19,UNKNOWN,
000159,ORIG,1,AP,1939-03-09,1939,,UNKNOWN,NDA,NDA,LILLY,SULFAPYRIDINE,SULFAPYRIDINE,1.0,001,,,
000415,ORIG,1,AP,1939-02-27,1939,,UNKNOWN,,UNKNOWN,,,,,,,,
000552,ORIG,1,AP,1939-02-09,1939,UNKNOWN,UNKNOWN,NDA,NDA,ASPEN GLOBAL INC,LIQUAEMIN SODIUM; LIQUAEMIN LOCK FLUSH; HEPARIN SODIUM; LIQUAEMIN SODIUM PRESERVATIVE FREE,HEPARIN SODIUM,12.0,001; 002; 003; 004; 005; 007; 008; 009; 010; 011; 012; 013,19,UNKNOWN,
000654,ORIG,1,AP,1939-05-04,1939,UNKNOWN,UNKNOWN,,UNKNOWN,,,,,,19,UNKNOWN,
000734,ORIG,1,AP,1939-04-25,1939,,UNKNOWN,NDA,NDA,LILLY,HISTAMINE PHOSPHATE,HISTAMINE PHOSPHATE,3.0,001; 002; 003,,,
000740,ORIG,1,AP,1939-04-26,1939,,UNKNOWN,,UNKNOWN,,,,,,,,
000763,ORIG,1,AP,1939-04-26,1939,,UNKNOWN,,UNKNOWN,,,,,,,,
000767,ORIG,1,AP,1949-04-27,1949,,UNKNOWN,,UNKNOWN,,,,,,,,
000793,ORIG,1,AP,1939-06-05,1939,UNKNOWN,UNKNOWN,NDA,NDA,PHARMOBEDIENT,BUTISOL SODIUM,BUTABARBITAL SODIUM,4.0,002; 003; 004; 005,19,UNKNOWN,
001104,ORIG,1,AP,1939-08-17,1939,,UNKNOWN,NDA,NDA,ORGANON USA INC,DOCA,DESOXYCORTICOSTERONE ACETATE,1.0,001,,,
001205,ORIG,1,AP,1939-07-17,1939,STANDARD,STANDARD,,UNKNOWN,,,,,,7,TYPE 1,Type 1 - New Molecular Entity
001374,ORIG,1,AP,1939-09-05,1939,,UNKNOWN,,UNKNOWN,,,,,,,,
001384,ORIG,1,AP,1939-08-17,1939,UNKNOWN,UNKNOWN,,UNKNOWN,,,,,,19,UNKNOWN,
001504,ORIG,1,AP,1939-08-30,1939,STANDARD,STANDARD,NDA,NDA,THE VERARD COMPANY,VERARD,VERARD,1.0,001,19,UNKNOWN,
001546,ORIG,1,AP,1939-10-02,1939,UNKNOWN,UNKNOWN,NDA,NDA,MERCK SHARP DOHME,GUANIDINE HYDROCHLORIDE,GUANIDINE HYDROCHLORIDE,1.0,001,19,UNKNOWN,
001645,ORIG,1,AP,1939-10-06,1939,,UNKNOWN,,UNKNOWN,,,,,,,,
001952,ORIG,1,AP,1940-01-30,1940,,UNKNOWN,,UNKNOWN,,,,,,,,
002189,ORIG,1,AP,1940-05-09,1940,UNKNOWN,UNKNOWN,,UNKNOWN,,,,,,19,UNKNOWN,
002282,ORIG,1,AP,1940-04-30,1940,STANDARD,STANDARD,NDA,NDA,ISO TEX,INULIN AND SODIUM CHLORIDE,INULIN,1.0,001,14,TYPE 4,Type 4 - New Combination
002386,ORIG,1,AP,1940-04-19,1940,STANDARD,STANDARD,NDA,NDA,GD SEARLE LLC,AMINOPHYLLIN,AMINOPHYLLINE,2.0,002; 003,15,TYPE 5,Type 5 - New Formulation or New Manufacturer
002852,ORIG,1,AP,1940-09-19,1940,,UNKNOWN,,UNKNOWN,,,,,,,,
002876,ORIG,1,AP,1940-09-05,1940,,UNKNOWN,,UNKNOWN,,,,,,,,
002918,ORIG,1,AP,1940-09-17,1940,UNKNOWN,UNKNOWN,NDA,NDA,POYTHRESS,BENSULFOID,SULFUR,1.0,001,19,UNKNOWN,
002945,ORIG,1,AP,1940-11-26,1940,UNKNOWN,UNKNOWN,,UNKNOWN,,,,,,19,UNKNOWN,
002959,ORIG,1,AP,1940-09-04,1940,,UNKNOWN,,UNKNOWN,,,,,,,,
003188,ORIG,1,AP,1940-11-18,1940,UNKNOWN,UNKNOWN,,UNKNOWN,,,,,,19,UNKNOWN,
003216,ORIG,1,AP,1940-11-19,1940,,UNKNOWN,,UNKNOWN,,,,,,,,
003290,ORIG,1,AP,1941-03-14,1941,UNKNOWN,UNKNOWN,,UNKNOWN,,,,,,19,UNKNOWN,
003444,ORIG,1,AP,1941-01-11,1941,UNKNOWN,UNKNOWN,NDA,NDA,ESJAY PHARMA,DRISDOL,ERGOCALCIFEROL,1.0,001,19,UNKNOWN,
003447,ORIG,1,AP,1941-06-19,1941,,UNKNOWN,,UNKNOWN,,,,,,,,
003448,ORIG,1,AP,1941-10-01,1941,UNKNOWN,UNKNOWN,,UNKNOWN,,,,,,19,UNKNOWN,
003498,ORIG,1,AP,1941-01-27,1941,,UNKNOWN,,UNKNOWN,,,,,,,,
003718,ORIG,1,AP,1941-07-15,1941,UNKNOWN,UNKNOWN,NDA,NDA,ROCHE,SYNKAYVITE,MENADIOL SODIUM DIPHOSPHATE,4.0,004; 006; 008; 010,19,UNKNOWN,
003934,ORIG,1,AP,1941-06-19,1941,,UNKNOWN,,UNKNOWN,,,,,,,,
003962,ORIG,1,AP,1941-07-08,1941,,UNKNOWN,,UNKNOWN,,,,,,,,
003977,ORIG,1,AP,1941-06-12,1941,UNKNOWN,UNKNOWN,NDA,NDA,PARKEDALE,THEELIN,ESTRONE,3.0,001; 002; 003,19,UNKNOWN,
003993,ORIG,1,AP,1941-08-05,1941,,UNKNOWN,,UNKNOWN,,,,,,,,
004016,ORIG,1,AP,1941-08-08,1941,,UNKNOWN,,UNKNOWN,,,,,,,,
004054,ORIG,1,AP,1941-08-11,1941,,UNKNOWN,NDA,NDA,LEDERLE,SULFADIAZINE; SULFADIAZINE SODIUM,SULFADIAZINE; SULFADIAZINE SODIUM,2.0,001; 002,,,
004122,ORIG,1,AP,1941-08-26,1941,STANDARD,STANDARD,NDA,NDA,LILLY,SULFADIAZINE,SULFADIAZINE,1.0,002,15,TYPE 5,Type 5 - New Formulation or New Manufacturer
004229,ORIG,1,AP,1942-01-12,1942,UNKNOWN,UNKNOWN,,UNKNOWN,,,,,,19,UNKNOWN,
004236,ORIG,1,AP,1941-09-16,1941,,UNKNOWN,,UNKNOWN,,,,,,,,
004297,ORIG,1,AP,1941-10-27,1941,UNKNOWN,UNKNOWN,,UNKNOWN,,,,,,19,UNKNOWN,
004368,ORIG,1,AP,1941-10-31,1941,,UNKNOWN,,UNKNOWN,,,,,,,,
004518,ORIG,1,AP,1942-01-29,1942,UNKNOWN,UNKNOWN,,UNKNOWN,,,,,,19,UNKNOWN,
004570,ORIG,1,AP,1942-02-05,1942,UNKNOWN,UNKNOWN,NDA,NDA,PHARMACIA AND UPJOHN,HEPARIN SODIUM,HEPARIN SODIUM,3.0,001; 002; 003,19,UNKNOWN,
004589,ORIG,1,AP,1946-01-17,1946,,UNKNOWN,NDA,NDA,B BRAUN,ALCOHOL 5% AND DEXTROSE 5%,ALCOHOL; DEXTROSE,1.0,004,,,
004652,ORIG,1,AP,1942-06-04,1942,UNKNOWN,UNKNOWN,,UNKNOWN,,,,,,19,UNKNOWN,
004725,ORIG,1,AP,1942-08-11,1942,,UNKNOWN,,UNKNOWN,,,,,,,,
004782,ORIG,1,AP,1942-05-08,1942,STANDARD,STANDARD,NDA,NDA,WYETH PHARMS,PREMARIN,"ESTROGENS, CONJUGATED",6.0,001; 002; 003; 004; 005; 006,7,TYPE 1,Type 1 - New Molecular Entity
004979,ORIG,1,AP,1942-06-16,1942,,UNKNOWN,,UNKNOWN,,,,,,,,
005010,ORIG,1,AP,1942-11-10,1942,STANDARD,STANDARD,NDA,NDA,QUAGEN,DEMEROL,MEPERIDINE HYDROCHLORIDE,7.0,001; 002; 003; 004; 005; 007; 009,7,TYPE 1,Type 1 - New Molecular Entity
005036,ORIG,1,AP,1942-11-21,1942,,UNKNOWN,,UNKNOWN,,,,,,,,
005070,ORIG,1,AP,1942-10-08,1942,,UNKNOWN,,UNKNOWN,,,,,,,,
005151,ORIG,1,AP,1942-12-09,1942,UNKNOWN,UNKNOWN,NDA,NDA,NOVARTIS,PERCORTEN,DESOXYCORTICOSTERONE ACETATE,1.0,001,19,UNKNOWN,
005159,ORIG,1,AP,1943-02-02,1943,,UNKNOWN,,UNKNOWN,,,,,,,,
005185,ORIG,1,AP,1943-01-25,1943,,UNKNOWN,,UNKNOWN,,,,,,,,
005213,ORIG,1,AP,1943-03-23,1943,STANDARD,STANDARD,NDA,NDA,GENUS,HYCODAN,HOMATROPINE METHYLBROMIDE; HYDROCODONE BITARTRATE,2.0,001; 002,7,TYPE 1,Type 1 - New Molecular Entity
005233,ORIG,1,AP,1943-06-05,1943,UNKNOWN,UNKNOWN,,UNKNOWN,,,,,,19,UNKNOWN,
005264,ORIG,1,AP,1943-05-04,1943,STANDARD,STANDARD,NDA,NDA,HOSPIRA,PANHEPRIN; HEPARIN LOCK FLUSH; HEPARIN SODIUM PRESERVATIVE FREE,HEPARIN SODIUM,8.0,004; 006; 007; 008; 009; 010; 013; 014,15,TYPE 5,Type 5 - New Formulation or New Manufacturer
005292,ORIG,1,AP,1943-06-25,1943,,UNKNOWN,NDA,NDA,SCHERING,ESTINYL,ETHINYL ESTRADIOL,3.0,001; 002; 003,,,
005378,ORIG,1,AP,1943-12-31,1943,UNKNOWN,UNKNOWN,NDA,NDA,AJENAT PHARMS,DESOXYN,METHAMPHETAMINE HYDROCHLORIDE,4.0,002; 003; 004; 005,19,UNKNOWN,
005426,ORIG,1,AP,1944-03-08,1944,,UNKNOWN,,UNKNOWN,,,,,,,,
005490,ORIG,1,AP,1944-04-13,1944,UNKNOWN,UNKNOWN,NDA,NDA,ORGANON USA INC,LYNORAL,ETHINYL ESTRADIOL,2.0,002; 003,19,UNKNOWN,
005521,ORIG,1,AP,1944-05-19,1944,,UNKNOWN,NDA,NDA,LILLY,HEPARIN SODIUM,HEPARIN SODIUM,3.0,001; 002; 004,,,
005545,ORIG,1,AP,1944-07-31,1944,,UNKNOWN,NDA,NDA,ABBVIE,DICUMAROL,DICUMAROL,3.0,003; 004; 005,,,
005573,ORIG,1,AP,1944-07-19,1944,UNKNOWN,UNKNOWN,,UNKNOWN,,,,,,19,UNKNOWN,
005587,ORIG,1,AP,1944-08-25,1944,UNKNOWN,UNKNOWN,,UNKNOWN,,,,,,19,UNKNOWN,
005592,ORIG,1,AP,1944-10-14,1944,,UNKNOWN,,UNKNOWN,,,,,,,,
005595,ORIG,1,AP,1944-09-08,1944,UNKNOWN,UNKNOWN,,UNKNOWN,,,,,,19,UNKNOWN,
005596,ORIG,1,AP,1944-12-18,1944,,UNKNOWN,,UNKNOWN,,,,,,,,
005619,ORIG,1,AP,1944-12-30,1944,UNKNOWN,UNKNOWN,NDA,NDA,MERCK,AMINOHIPPURATE SODIUM,AMINOHIPPURATE SODIUM,1.0,001,19,UNKNOWN,
005657,ORIG,1,AP,1945-02-20,1945,PRIORITY,PRIORITY,NDA,NDA,BRISTOL MYERS SQUIBB,TUBOCURARINE CHLORIDE,TUBOCURARINE CHLORIDE,1.0,001,7,TYPE 1,Type 1 - New Molecular Entity
005766,ORIG,1,AP,1946-05-28,1946,UNKNOWN,UNKNOWN,,UNKNOWN,,,,,,19,UNKNOWN,
005773,ORIG,1,AP,1945-07-24,1945,UNKNOWN,UNKNOWN,,UNKNOWN,,,,,,19,UNKNOWN,
005786,ORIG,1,AP,1945-08-13,1945,UNKNOWN,UNKNOWN,,UNKNOWN,,,,,,19,UNKNOWN,
005794,ORIG,1,AP,1945-09-12,1945,,UNKNOWN,NDA,NDA,ORTHO MCNEIL PHARM,SULTRIN,TRIPLE SULFA (SULFABENZAMIDE;SULFACETAMIDE;SULFATHIAZOLE),2.0,001; 002,,,
005795,ORIG,1,AP,1945-10-04,1945,STANDARD,STANDARD,NDA,NDA,SHIRE,FURACIN,NITROFURAZONE,1.0,001,12,TYPE 3,Type 3 - New Dosage Form
005798,ORIG,1,AP,1945-11-06,1945,,UNKNOWN,,UNKNOWN,,,,,,,,
005845,ORIG,1,AP,1946-03-04,1946,STANDARD,STANDARD,NDA,NDA,MCNEIL CONS,BENADRYL,DIPHENHYDRAMINE HYDROCHLORIDE,3.0,001; 004; 007,7,TYPE 1,Type 1 - New Molecular Entity
005856,ORIG,1,AP,1946-01-25,1946,UNKNOWN,UNKNOWN,NDA,NDA,ABBVIE,TRIDIONE,TRIMETHADIONE,3.0,002; 005; 009,19,UNKNOWN,
005897,ORIG,1,AP,1947-06-05,1947,UNKNOWN,UNKNOWN,NDA,NDA,WYETH PHARMS INC,FOLVITE,FOLIC ACID,2.0,004; 008,19,UNKNOWN,
005914,ORIG,1,AP,1948-02-19,1948,STANDARD,STANDARD,NDA,NDA,NOVARTIS,PBZ,TRIPELENNAMINE HYDROCHLORIDE; TRIPELENNAMINE CITRATE,2.0,002; 004,7,TYPE 1,Type 1 - New Molecular Entity
005915,ORIG,1,AP,1946-03-29,1946,UNKNOWN,UNKNOWN,,UNKNOWN,,,,,,19,UNKNOWN,
005929,ORIG,1,AP,1946-04-12,1946,UNKNOWN,UNKNOWN,NDA,NDA,BAUSCH,D.H.E. 45,DIHYDROERGOTAMINE MESYLATE,1.0,001,19,UNKNOWN,
005939,ORIG,1,AP,1946-05-06,1946,UNKNOWN,UNKNOWN,NDA,NDA,PROVEPHARM SAS,BAL,DIMERCAPROL,1.0,001,19,UNKNOWN,
005963,ORIG,1,AP,1946-07-21,1946,UNKNOWN,UNKNOWN,NDA,NDA,SCHERING,SODIUM SULAMYD,SULFACETAMIDE SODIUM,3.0,001; 002; 003,19,UNKNOWN,
005970,ORIG,1,AP,1946-08-13,1946,PRIORITY,PRIORITY,NDA,NDA,ELKINS SINN,SOTRADECOL,SODIUM TETRADECYL SULFATE,2.0,004; 005,7,TYPE 1,Type 1 - New Molecular Entity
006002,ORIG,1,AP,1949-10-31,1949,UNKNOWN,UNKNOWN,NDA,NDA,SANOFI AVENTIS US,ARALEN; ARALEN HYDROCHLORIDE,CHLOROQUINE PHOSPHATE; CHLOROQUINE HYDROCHLORIDE,2.0,001; 002,19,UNKNOWN,
006003,ORIG,1,AP,1946-10-18,1946,,UNKNOWN,,UNKNOWN,,,,,,,,
006008,ORIG,1,AP,1946-10-23,1946,,UNKNOWN,NDA,NDA,NOVARTIS,MESANTOIN,MEPHENYTOIN,1.0,001,,,
006012,ORIG,1,AP,1946-08-13,1946,,UNKNOWN,NDA,NDA,LEDERLE,FOLVRON,FERROUS SULFATE; FOLIC ACID,1.0,003,,,
006035,ORIG,1,AP,1946-11-19,1946,UNKNOWN,UNKNOWN,NDA,NDA,EDISON THERAPS LLC,METHERGINE,METHYLERGONOVINE MALEATE,2.0,003; 004,19,UNKNOWN,
006071,ORIG,1,AP,1947-07-28,1947,UNKNOWN,UNKNOWN,NDA,NDA,ROCHE,BEROCCA PN,ASCORBIC ACID; BIOTIN; CYANOCOBALAMIN; DEXPANTHENOL; ERGOCALCIFEROL; FOLIC ACID; NIACINAMIDE; PYRIDOXINE HYDROCHLORIDE; RIBOFLAVIN 5'-PHOSPHATE SODIUM; THIAMINE HYDROCHLORIDE; VITAMIN A PALMITATE; VITAMIN E,1.0,003,19,UNKNOWN,
006095,ORIG,1,AP,1947-01-30,1947,STANDARD,STANDARD,NDA,NDA,HOSPIRA,TUBOCURARINE CHLORIDE,TUBOCURARINE CHLORIDE,1.0,001,15,TYPE 5,Type 5 - New Formulation or New Manufacturer
006110,ORIG,1,AP,1947-01-09,1947,,UNKNOWN,NDA,NDA,ORTHO MCNEIL PHARM,DIENESTROL,DIENESTROL,1.0,005,,,
006128,ORIG,1,AP,1948-06-04,1948,UNKNOWN,UNKNOWN,,UNKNOWN,,,,,,19,UNKNOWN,
006129,ORIG,1,AP,1947-03-05,1947,UNKNOWN,UNKNOWN,,UNKNOWN,,,,,,19,UNKNOWN,
006130,ORIG,1,AP,1948-09-20,1948,UNKNOWN,UNKNOWN,,UNKNOWN,,,,,,19,UNKNOWN,
006134,ORIG,1,AP,1947-08-13,1947,UNKNOWN,UNKNOWN,NDA,NDA,HIKMA,DOLOPHINE HYDROCHLORIDE,METHADONE HYDROCHLORIDE,3.0,002; 004; 010,19,UNKNOWN,
006135,ORIG,1,AP,1947-06-02,1947,UNKNOWN,UNKNOWN,NDA,NDA,LILLY,FOLIC ACID,FOLIC ACID,1.0,003,19,UNKNOWN,
006146,ORIG,1,AP,1947-03-06,1947,STANDARD,STANDARD,NDA,NDA,MCNEIL CONS,BENADRYL,DIPHENHYDRAMINE HYDROCHLORIDE,2.0,001; 002,12,TYPE 3,Type 3 - New Dosage Form
006168,ORIG,1,AP,1947-04-11,1947,UNKNOWN,UNKNOWN,,UNKNOWN,,,,,,19,UNKNOWN,
006170,ORIG,1,AP,1947-04-23,1947,STANDARD,STANDARD,NDA,NDA,B BRAUN,HYPROTIGEN 5%,PROTEIN HYDROLYSATE,1.0,003,15,TYPE 5,Type 5 - New Formulation or New Manufacturer
006188,ORIG,1,AP,1947-07-28,1947,UNKNOWN,UNKNOWN,NDA,NDA,PH HEALTH,PROPYLTHIOURACIL,PROPYLTHIOURACIL,1.0,001,19,UNKNOWN,
006213,ORIG,1,AP,1947-07-29,1947,UNKNOWN,UNKNOWN,NDA,NDA,LILLY,PROPYLTHIOURACIL,PROPYLTHIOURACIL,1.0,001,19,UNKNOWN,
006215,ORIG,1,AP,1947-05-25,1947,UNKNOWN,UNKNOWN,,UNKNOWN,,,,,,19,UNKNOWN,
006264,ORIG,1,AP,1947-07-23,1947,,UNKNOWN,,UNKNOWN,,,,,,,,
006303,ORIG,1,AP,1947-09-25,1947,STANDARD,STANDARD,,UNKNOWN,,,,,,7,TYPE 1,Type 1 - New Molecular Entity
006325,ORIG,1,AP,1947-11-28,1947,STANDARD,STANDARD,NDA,NDA,LILLY,TUBOCURARINE CHLORIDE,TUBOCURARINE CHLORIDE,1.0,001,15,TYPE 5,Type 5 - New Formulation or New Manufacturer
006328,ORIG,1,AP,1948-02-19,1948,UNKNOWN,UNKNOWN,NDA,NDA,SANOFI AVENTIS US,ISUPREL,ISOPROTERENOL HYDROCHLORIDE,2.0,001; 002,19,UNKNOWN,
006333,ORIG,1,AP,1947-10-17,1947,UNKNOWN,UNKNOWN,NDA,NDA,CENT PHARMS,SYNOPHYLATE,THEOPHYLLINE SODIUM GLYCINATE,1.0,008,19,UNKNOWN,
006340,ORIG,1,AP,1948-07-06,1948,,UNKNOWN,,UNKNOWN,,,,,,,,
006367,ORIG,1,AP,1948-02-26,1948,UNKNOWN,UNKNOWN,,UNKNOWN,,,,,,19,UNKNOWN,
006383,ORIG,1,AP,1947-12-15,1947,UNKNOWN,UNKNOWN,NDA,NDA,MALLINCKRODT INC,METHADONE HYDROCHLORIDE,METHADONE HYDROCHLORIDE,3.0,002; 003; 004,19,UNKNOWN,
006386,ORIG,1,AP,1947-12-30,1947,UNKNOWN,UNKNOWN,,UNKNOWN,,,,,,19,UNKNOWN,
006403,ORIG,1,AP,1948-03-17,1948,,UNKNOWN,NDA,NDA,NOVARTIS,PRISCOLINE,TOLAZOLINE HYDROCHLORIDE,1.0,005,,,
006410,ORIG,1,AP,1948-03-29,1948,,UNKNOWN,,UNKNOWN,,,,,,,,
006412,ORIG,1,AP,1948-04-07,1948,STANDARD,STANDARD,NDA,NDA,SANOFI AVENTIS US,DECAPRYN,DOXYLAMINE SUCCINATE,2.0,014; 015,7,TYPE 1,Type 1 - New Molecular Entity
006459,ORIG,1,AP,1950-11-13,1950,UNKNOWN,UNKNOWN,NDA,NDA,LEDERLE,HETRAZAN,DIETHYLCARBAMAZINE CITRATE,1.0,001,19,UNKNOWN,
006460,ORIG,1,AP,1969-08-13,1969,STANDARD,STANDARD,NDA,NDA,LILLY,PROTAMINE SULFATE,PROTAMINE SULFATE,2.0,002; 003,15,TYPE 5,Type 5 - New Formulation or New Manufacturer
006461,ORIG,1,AP,1980-03-03,1980,UNKNOWN,UNKNOWN,,UNKNOWN,,,,,,19,UNKNOWN,
006463,ORIG,1,AP,1948-05-04,1948,,UNKNOWN,,UNKNOWN,,,,,,,,
006484,ORIG,1,AP,1948-07-29,1948,,UNKNOWN,,UNKNOWN,,,,,,,,
006488,ORIG,1,AP,1948-11-19,1948,UNKNOWN,UNKNOWN,NDA,NDA,FRESENIUS KABI USA,XYLOCAINE; XYLOCAINE W/ EPINEPHRINE,LIDOCAINE HYDROCHLORIDE; EPINEPHRINE; LIDOCAINE HYDROCHLORIDE,11.0,002; 003; 004; 005; 007; 008; 010; 012; 017; 018; 019,19,UNKNOWN,
006499,ORIG,1,AP,1948-06-30,1948,UNKNOWN,UNKNOWN,,UNKNOWN,,,,,,19,UNKNOWN,
006525,ORIG,1,AP,1948-07-29,1948,UNKNOWN,UNKNOWN,NDA,NDA,ROCHE,GANTRISIN,SULFISOXAZOLE,1.0,001,19,UNKNOWN,
006526,ORIG,1,AP,1948-07-26,1948,,UNKNOWN,,UNKNOWN,,,,,,,,
006530,ORIG,1,AP,1965-06-05,1965,UNKNOWN,UNKNOWN,NDA,NDA,PHARMOBEDIENT,AVC,SULFANILAMIDE,2.0,003; 004,19,UNKNOWN,
006536,ORIG,1,AP,1948-10-12,1948,UNKNOWN,UNKNOWN,NDA,NDA,TEVA BRANDED PHARM,URECHOLINE,BETHANECHOL CHLORIDE,5.0,001; 002; 003; 004; 005,19,UNKNOWN,
006564,ORIG,1,AP,1948-08-16,1948,,UNKNOWN,,UNKNOWN,,,,,,,,
006569,ORIG,1,AP,1980-03-03,1980,UNKNOWN,UNKNOWN,,UNKNOWN,,,,,,19,UNKNOWN,
006593,ORIG,1,AP,1948-10-27,1948,UNKNOWN,UNKNOWN,,UNKNOWN,,,,,,19,UNKNOWN,
006603,ORIG,1,AP,1948-10-27,1948,UNKNOWN,UNKNOWN,,UNKNOWN,,,,,,19,UNKNOWN,
006617,ORIG,1,AP,1948-11-29,1948,,UNKNOWN,,UNKNOWN,,,,,,,,
006620,ORIG,1,AP,1948-11-26,1948,,UNKNOWN,NDA,NDA,NOVARTIS,CAFERGOT,CAFFEINE; ERGOTAMINE TARTRATE,1.0,001,,,
006632,ORIG,1,AP,1949-01-04,1949,STANDARD,STANDARD,NDA,NDA,LILLY,METUBINE IODIDE,METOCURINE IODIDE,1.0,003,7,TYPE 1,Type 1 - New Molecular Entity
006652,ORIG,1,AP,1980-03-03,1980,UNKNOWN,UNKNOWN,,UNKNOWN,,,,,,19,UNKNOWN,
006686,ORIG,1,AP,1949-03-01,1949,UNKNOWN,UNKNOWN,,UNKNOWN,,,,,,19,UNKNOWN,
006695,ORIG,1,AP,1949-03-15,1949,PRIORITY,PRIORITY,NDA,NDA,RECORDATI RARE,MUSTARGEN,MECHLORETHAMINE HYDROCHLORIDE,1.0,001,7,TYPE 1,Type 1 - New Molecular Entity
006772,ORIG,1,AP,1949-03-28,1949,UNKNOWN,UNKNOWN,NDA,NDA,GLAXOSMITHKLINE,VASOXYL,METHOXAMINE HYDROCHLORIDE,2.0,001; 002,19,UNKNOWN,
006773,ORIG,1,AP,1949-05-13,1949,,UNKNOWN,NDA,NDA,LEDERLE,ARTANE,TRIHEXYPHENIDYL HYDROCHLORIDE,4.0,003; 005; 009; 010,,,
006799,ORIG,1,AP,1950-09-29,1950,STANDARD,STANDARD,NDA,NDA,BRISTOL MYERS SQUIBB,RUBRAMIN PC,CYANOCOBALAMIN,3.0,002; 004; 010,15,TYPE 5,Type 5 - New Formulation or New Manufacturer
006800,ORIG,1,AP,1949-06-15,1949,,UNKNOWN,NDA,NDA,ABBVIE,PARADIONE,PARAMETHADIONE,3.0,001; 002; 003,,,
006823,ORIG,1,AP,1949-05-18,1949,UNKNOWN,UNKNOWN,NDA,NDA,CASPER PHARMA LLC,AQUASOL A,VITAMIN A PALMITATE,1.0,001,19,UNKNOWN,
006826,ORIG,1,AP,1954-06-08,1954,,UNKNOWN,,UNKNOWN,,,,,,,,
006882,ORIG,1,AP,1949-04-19,1949,UNKNOWN,UNKNOWN,NDA,NDA,SANOFI AVENTIS US,PHISOHEX,HEXACHLOROPHENE,1.0,001,19,UNKNOWN,
006911,ORIG,1,AP,1949-06-21,1949,UNKNOWN,UNKNOWN,,UNKNOWN,,,,,,19,UNKNOWN,
006920,ORIG,1,AP,1949-08-16,1949,STANDARD,STANDARD,NDA,NDA,LEDERLE,TRIPLE SULFAS,TRISULFAPYRIMIDINES (SULFADIAZINE;SULFAMERAZINE;SULFAMETHAZINE),2.0,002; 003,15,TYPE 5,Type 5 - New Formulation or New Manufacturer
006921,ORIG,1,AP,1949-07-13,1949,UNKNOWN,UNKNOWN,NDA,NDA,SCHERING,CHLOR-TRIMETON,CHLORPHENIRAMINE MALEATE,2.0,002; 006,19,UNKNOWN,
006925,ORIG,1,AP,1955-07-29,1955,STANDARD,STANDARD,,UNKNOWN,,,,,,7,TYPE 1,Type 1 - New Molecular Entity
006927,ORIG,1,AP,1949-07-06,1949,UNKNOWN,UNKNOWN,NDA,NDA,JOURNEY,EURAX,CROTAMITON,1.0,001,19,UNKNOWN,
007012,ORIG,1,AP,1949-09-15,1949,,UNKNOWN,NDA,NDA,BAYER HLTHCARE,VI-TWEL,CYANOCOBALAMIN,1.0,002,,,
007018,ORIG,1,AP,1950-07-31,1950,UNKNOWN,UNKNOWN,,UNKNOWN,,,,,,19,UNKNOWN,
007067,ORIG,1,AP,1949-11-16,1949,UNKNOWN,UNKNOWN,,UNKNOWN,,,,,,19,UNKNOWN,
007073,ORIG,1,AP,1950-06-20,1950,PRIORITY,PRIORITY,NDA,NDA,PFIZER,AZULFIDINE; AZULFIDINE EN-TABS,SULFASALAZINE,2.0,001; 002,7,TYPE 1,Type 1 - New Molecular Entity
007085,ORIG,1,AP,1949-12-06,1949,UNKNOWN,UNKNOWN,NDA,NDA,WARNER CHILCOTT,CYANOCOBALAMIN,CYANOCOBALAMIN,1.0,002,19,UNKNOWN,
007110,ORIG,1,AP,1950-06-13,1950,PRIORITY,PRIORITY,NDA,NDA,MERCK,CORTONE,CORTISONE ACETATE,2.0,002; 003,7,TYPE 1,Type 1 - New Molecular Entity
007149,ORIG,1,AP,1950-03-02,1950,,UNKNOWN,,UNKNOWN,,,,,,,,
007220,ORIG,1,AP,1950-01-18,1950,,UNKNOWN,,UNKNOWN,,,,,,,,
007289,ORIG,1,AP,1950-04-17,1950,,UNKNOWN,,UNKNOWN,,,,,,,,
007320,ORIG,1,AP,1950-03-08,1950,STANDARD,STANDARD,NDA,NDA,CONSOLIDATED MIDLAND,TEEBACIN,AMINOSALICYLATE SODIUM,1.0,002,15,TYPE 5,Type 5 - New Formulation or New Manufacturer
007335,ORIG,1,AP,1950-06-02,1950,PRIORITY,PRIORITY,NDA,NDA,APOTHECON,PRONESTYL,PROCAINAMIDE HYDROCHLORIDE,5.0,001; 002; 003; 004; 005,7,TYPE 1,Type 1 - New Molecular Entity
007337,ORIG,1,AP,1950-04-12,1950,STANDARD,STANDARD,NDA,NDA,ENDO OPERATIONS,PERCODAN-DEMI; PERCODAN,ASPIRIN; OXYCODONE HYDROCHLORIDE; OXYCODONE TEREPHTHALATE; ASPIRIN; OXYCODONE HYDROCHLORIDE,3.0,005; 006; 007,14,TYPE 4,Type 4 - New Combination
007390,ORIG,1,AP,1951-07-03,1951,STANDARD,STANDARD,NDA,NDA,SHIRE,BANTHINE,METHANTHELINE BROMIDE,1.0,001,7,TYPE 1,Type 1 - New Molecular Entity
